TeamId,name,short_name,strength,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,pulse_id,code
1,Arsenal,ARS,4,1190,1210,1160,1210,1190,1230,1,3
2,Aston Villa,AVL,3,1150,1160,1140,1170,1120,1160,2,7
3,Brighton,BHA,3,1080,1100,1110,1130,1100,1120,131,36
4,Burnley,BUR,2,1050,1080,1130,1150,1010,1020,43,90
5,Chelsea,CHE,4,1260,1280,1180,1250,1230,1260,4,8
6,Crystal Palace,CRY,3,1110,1150,1100,1130,1020,1040,6,31
7,Everton,EVE,3,1180,1210,1160,1220,1210,1240,7,11
8,Fulham,FUL,2,1000,1020,1020,1020,1000,1010,34,54
9,Leicester,LEI,4,1220,1240,1190,1230,1200,1230,26,13
10,Leeds,LEE,3,1100,1130,1110,1140,1100,1120,9,2
11,Liverpool,LIV,5,1320,1340,1250,1310,1320,1340,10,14
12,Man City,MCI,5,1310,1340,1250,1310,1330,1340,11,43
13,Man Utd,MUN,4,1230,1230,1210,1230,1200,1290,12,1
14,Newcastle,NEW,3,1100,1130,1100,1130,1030,1070,23,4
15,Sheffield Utd,SHU,3,1070,1100,1130,1160,1020,1050,18,49
16,Southampton,SOU,3,1150,1180,1130,1130,1110,1120,20,20
17,Spurs,TOT,4,1270,1280,1160,1180,1260,1290,21,6
18,West Brom,WBA,2,1010,1030,1010,1010,990,1020,36,35
19,West Ham,WHU,3,1140,1170,1150,1170,1160,1200,25,21
20,Wolves,WOL,3,1160,1190,1190,1230,1140,1190,38,39
